А,1299
Б,1780
В,553
Г,1059
Д,811
Е,107
Ж,423
З,674
И,369
Й,4
К,2441
Л,743
М,1367
Н,500
О,845
П,1885
Р,612
С,1916
Т,1058
У,287
Ф,203
Х,299
Ц,245
Ч,733
Ш,291
Щ,162
Э,238
Ю,148
Я,227
